Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,805,740,735,665,670,735,750,755,885,880,880,1230,1500,1720,1071
Aberdeenshire,740,645,630,585,655,785,680,740,985,805,890,1030,1215,1190,990
Angus,255,235,235,215,235,275,295,270,310,285,280,320,380,370,340
Argyll and Bute,285,275,235,245,260,295,270,255,310,295,250,270,270,295,265
City of Edinburgh,1750,1555,1440,1485,1475,1740,1745,1600,1825,1785,1855,2295,2230,2585,2350
Clackmannanshire,110,100,115,85,115,120,120,120,125,115,115,145,135,145,140
Dumfries and Galloway,340,370,370,280,395,370,425,400,420,320,365,390,370,390,315
Dundee City,365,300,305,285,290,320,370,300,370,345,385,450,,475,445
East Ayrshire,305,265,240,225,255,275,265,285,290,250,270,310,295,370,335
East Dunbartonshire,290,255,210,210,210,270,285,280,325,255,315,315,305,345,330
East Lothian,235,230,205,205,215,250,230,215,245,260,260,270,285,290,290
East Renfrewshire,270,250,190,220,210,260,280,235,265,240,245,325,280,335,330
Falkirk,310,350,280,270,265,330,365,335,375,365,360,435,440,475,455
Fife,890,790,720,685,745,875,895,755,905,800,860,985,1000,1185,1185
Glasgow City,2150,1915,1810,1680,1835,2235,2235,2095,2630,2165,2345,2705,2820,3025,2975
Highland,695,690,610,590,650,730,760,635,765,710,740,865,925,900,770
Inverclyde,170,145,115,135,160,175,195,120,185,170,160,205,210,195,225
Midlothian,170,165,160,165,170,190,185,170,205,185,200,235,220,245,250
Moray,200,225,170,185,215,210,195,205,235,220,215,235,280,275,255
Na h-Eileanan Siar,70,65,70,55,65,70,75,70,85,65,65,100,75,90,90
North Ayrshire,305,275,265,255,270,285,310,265,325,285,305,345,355,385,375
North Lanarkshire,655,615,555,515,650,740,765,625,775,720,785,915,915,1010,950
Orkney Islands,60,50,65,55,55,65,55,60,75,40,50,65,65,60,45
Perth and Kinross,460,435,415,405,400,480,430,425,485,465,480,505,460,530,450
Renfrewshire,460,450,390,365,360,455,465,425,490,440,450,565,575,610,580
Scottish Borders,350,315,300,265,335,385,330,300,350,320,350,385,340,375,305
Shetland Islands,65,50,60,50,50,85,35,50,55,70,70,70,65,90,70
South Ayrshire,315,310,300,285,295,335,320,280,335,305,295,330,350,425,340
South Lanarkshire,835,735,640,660,690,865,885,810,890,845,830,915,985,1045,1070
Stirling,290,315,255,240,285,305,335,330,360,280,310,355,350,445,345
West Dunbartonshire,130,135,135,120,130,130,165,135,190,170,200,220,235,230,240
West Lothian,390,410,370,330,390,445,470,425,475,395,435,475,525,575,530
