Area,2016,2017
Aberdeen City,1040,1010
Aberdeenshire,960,985
Angus,160,150
Argyll and Bute,145,160
City of Edinburgh,1110,1400
Clackmannanshire,140,145
Dumfries and Galloway,285,310
Dundee City,470,465
East Ayrshire,85,95
East Dunbartonshire,25,50
East Lothian,60,65
East Renfrewshire,20,20
Falkirk,1515,2115
Fife,1340,1275
Glasgow City,1080,1255
Highland,305,385
Inverclyde,120,105
Midlothian,50,55
Moray,255,275
Na h-Eileanan Siar,40,50
North Ayrshire,345,245
North Lanarkshire,525,560
Orkney Islands,70,85
Perth and Kinross,120,135
Renfrewshire,880,1000
Scottish Borders,200,230
Shetland Islands,25,50
South Ayrshire,255,305
South Lanarkshire,645,885
Stirling,95,110
West Dunbartonshire,215,220
West Lothian,530,640
